Designator,Component Name / Description,Package,Value / Spec,Qty,Unit Price (USD),Total (USD),Primary Supplier,Part Number / Source Link
"C1, C2",Multilayer Ceramic Capacitor,0805,22pF,2,0.4600,$0.92,LCSC,https://www.lcsc.com/product-detail/C1804.html?s_z=n_q_CL21C220JBANNNC&lcsc_vid=FVBdVAJfRgcKUwcCQlVdBFQETlgIUlMAFFFcVAYEEVgxVlNeRlRXVVxWQVFdXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slQFVcU1NVTk8GEwkK
C3,Multilayer Ceramic Capacitor,0805,1uF,1,0.9400,$0.94,LCSC,https://www.lcsc.com/product-detail/C28323.html?s_z=s_p_CL21B105KBFNNNE&lcsc_vid=FVBdVAJfRgcKUwcCQlVdBFQETlgIUlMAFFFcVAYEEVgxVlNeRlRXVVxQQVlbVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D
C10,Multilayer Ceramic Capacitor,0805,4.7uF,1,0.4300,$0.43,LCSC,https://www.lcsc.com/product-detail/C1779.html?s_z=s_p_CL21A475KAQNNNE&lcsc_vid=FVBdVAJfRgcKUwcCQlVdBFQETlgIUlMAFFFcVAYEEVgxVlNeRlRXVFVRT1lXUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D
"C11,C12,C13,C14,C15,C16,C17,C19,C20,C4,C5,C6,C7,C8,C9",Multilayer Ceramic Capacitor,0805,100nF,15,0.0687,$1.03,LCSC,https://www.lcsc.com/product-detail/C49678.html?s_z=n_q_CC0805KRX7R9BB104&lcsc_vid=FVBdVAJfRgcKUwcCQlVdBFQETlgIUlMAFFFcVAYEEVgxVlNeRlRXVFdQT1ZaUzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRlZZXkoOAwwC
"R1, R2, R5, R6",Thick Film Chip Resistor,0805,100 kΩ,4,0.0825,$0.33,LCSC,https://www.lcsc.com/product-detail/C149504.html?s_z=s_p_0805W8F1003T5E&lcsc_vid=FVBdVAJfRgcKUwcCQlVdBFQETlgIUlMAFFFcVAYEEVgxVlNeRlRXVFFVT1deXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D
R4,Thick Film Chip Resistor,0805,680 Ω,1,0.2200,$0.22,LCSC,https://www.lcsc.com/product-detail/C17798.html?s_z=n_q_0805W8F6800T5E&lcsc_vid=FVBdVAJfRgcKUwcCQlVdBFQETlgIUlMAFFFcVAYEEVgxVlNeRlRXVFJVQ1BWVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRlZZXlxIHxUDCw%3D%3D
"R7, R8",Thick Film Chip Resistor,0805,330 Ω,2,0.1400,$0.28,LCSC,https://www.lcsc.com/product-detail/C17630.html?s_z=s_p_0805W8F3300T5E&lcsc_vid=FVBdVAJfRgcKUwcCQlVdBFQETlgIUlMAFFFcVAYEEVgxVlNeRlRXVFJeQlZXVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D
"R10, R23",Thick Film Chip Resistor,0805,5.1 kΩ,2,0.1400,$0.28,LCSC,https://www.lcsc.com/product-detail/C27834.html?s_z=n_q_0805W8F5101T5E&lcsc_vid=FVBdVAJfRgcKUwcCQlVdBFQETlgIUlMAFFFcVAYEEVgxVlNeRlRXVFNXT1FeUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRlZYVFRIHxUDCw%3D%3D
R11-R20,Thick Film Chip Resistor,0805,10 kΩ,14,0.0250,$0.35,LCSC,https://www.lcsc.com/product-detail/C17414.html?s_z=s_p_0805W8F1002T5E&lcsc_vid=FVBdVAJfRgcKUwcCQlVdBFQETlgIUlMAFFFcVAYEEVgxVlNeRlRXVFNfRFlXUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D
"D1, D2",Surface Mount Indicator LED,0805,Standard Red/Green,2,0.3350,$0.67,LCSC,https://www.lcsc.com/product-detail/C84256.html?s_z=s_p_NCD0805R1
SW1,SMT Tactile Push Button,3.9x2.9mm,1.6N / 2.0mm Height,1,2.2100,$2.21,LCSC,https://www.lcsc.com/product-detail/C495942.html?s_z=n_q_MPTFP2-V-T%252FR&lcsc_vid=FVBdVAJfRgcKUwcCQlVdBFQETlgIUlMAFFFcVAYEEVgxVlNeRlRXVFxeRlRbUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slT1VcUlJIHxUDCw%3D%3D
"CARD1, CARD2",Hinged MicroSD Card Slot,SMT,SD-106M Hinged,2,0.5200,$1.04,LCSC,https://www.lcsc.com/product-detail/C266603.html?s_z=s_p_SD-106M&lcsc_vid=FVBdVAJfRgcKUwcCQlVdBFQETlgIUlMAFFFcVAYEEVgxVlNeRlRXVF1VQFZXVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D
GL850G,USB 2.0 Hub Controller IC,SSOP-28,GL850G-HHY22,1,0.5500,$0.55,LCSC,https://www.lcsc.com/product-detail/C136617.html?s_z=n_q_GL850G-HHY22&lcsc_vid=FVBdVAJfRgcKUwcCQlVdBFQETlgIUlMAFFFcVAYEEVgxVlNeRlRXVF1eTllbXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVdYUVRVWQkaCgg%3D
"IC3, IC4",USB SD Card Reader Controller,SOP-16,GL823K-HCY04,2,0.4550,$0.91,LCSC,https://www.lcsc.com/product-detail/C284879.html?s_z=n_q_GL823K-HCY04&lcsc_vid=FVBdVAJfRgcKUwcCQlVdBFQETlgIUlMAFFFcVAYEEVgxVlNeRlRXU1RSR1JZVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktfQ1hADxALGw%3D%3D
"U1, U2",TVS Diode ESD Protection Array,SOT-23-6,SRV05-4 (Low Cap),2,0.2550,$0.51,LCSC,https://www.lcsc.com/product-detail/C2836319.html?s_z=n_q_x_SRV05-4&lcsc_vid=FVBdVAJfRgcKUwcCQlVdBFQETlgIUlMAFFFcVAYEEVgxVlNeRlRXU1RRRFlfVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktfQ1hADxALGw%3D%3D
"USB1, USB2",USB Type-A Receptacle,Through-Hole,Right Angle / 90° Female,2,0.2450,$0.49,LCSC,https://www.lcsc.com/product-detail/C456018.html?s_z=n_q_p_AF%252090%2520WJDG&lcsc_vid=FVBdVAJfRgcKUwcCQlVdBFQETlgIUlMAFFFcVAYEEVgxVlNeRlRXU1VURlNYUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVldUVdXTk8GEwkK
